name,price,url
"iPhone 11 Apple 64GB (PRODUCT)RED 6,1” 12MP iOS",4649.07,https://www.magazineluiza.com.br/iphone-11-apple-64gb-product-red-61-12mp-ios/p/155610700/te/ip11/
Smartphone Motorola Moto E7 Plus 64GB Azul Navy,1199.0,https://www.magazineluiza.com.br/smartphone-motorola-moto-e7-plus-64gb-azul-navy-4g-octa-core-4gb-ram-65-cam-dupla-selfie-8mp/p/155590600/te/me7p/
"Smartphone Moto E7 Plus 64GB Dual Chip Android 10 Tela 6.5"" Qualcomm Snapdragon 4G Câmera 48MP",1098.0,https://www.magazineluiza.com.br/smartphone-moto-e7-plus-64gb-dual-chip-android-10-tela-6-5-qualcomm-snapdragon-4g-camera-48mp-motorola/p/bch4769e4e/te/me7p/
"iPhone 11 Apple 128GB (PRODUCT)RED 6,1” 12MP iOS",5114.07,https://www.magazineluiza.com.br/iphone-11-apple-128gb-product-red-61-12mp-ios-mhdk3br-a/p/155611300/te/ip11/
Smartphone LG K51S 64GB Titânio 4G Octa-Core,1088.1,https://www.magazineluiza.com.br/smartphone-lg-k51s-64gb-titanio-4g-octa-core-3gb-ram-655-cam-quadrupla-selfie-13mp/p/155585100/te/k51s/
Smartphone Samsung Galaxy A71 128GB Cinza 4G,1916.1,https://www.magazineluiza.com.br/smartphone-samsung-galaxy-a71-128gb-cinza-4g-6gb-ram-67-cam-quadrupla-selfie-32mp/p/155587200/te/galx/
Smartphone Samsung Galaxy S20+ 128GB Cosmic Black,3699.0,https://www.magazineluiza.com.br/smartphone-samsung-galaxy-s20-128gb-cosmic-black-8gb-ram-tela-67-cam-quadrupla-selfie-10mp/p/155577200/te/gs2m/
"iPhone 12 Apple 128GB Preto Tela 6,1” ",6881.07,https://www.magazineluiza.com.br/iphone-12-apple-128gb-preto-tela-61-cam-dupla-12mp-ios/p/155598100/te/ip12/
"iPhone SE Apple 64GB (PRODUCT)RED 4,7” 12MP iOS",2699.0,https://www.magazineluiza.com.br/iphone-se-apple-64gb-product-red-47-12mp-ios/p/155613400/te/ipse/
Smartphone LG K51S 64GB Vermelho 4G Octa-Core,1088.1,https://www.magazineluiza.com.br/smartphone-lg-k51s-64gb-vermelho-4g-octa-core-3gb-ram-655-cam-quadrupla-selfie-13mp/p/155585200/te/k51s/
